id,value
1,100
2,200
3,300
4,400
5,500
6,600
7,700
8,800
9,900
10,1000
11,1100
12,1200
13,1300
14,1400
15,1500
16,1600
17,1700
18,1800
19,1900
20,2000
21,2100
22,2200
23,2300
24,2400
25,2500
26,2600
27,2700
28,2800
29,2900
30,3000
31,3100
32,3200
33,3300
34,3400
35,3500
36,3600
37,3700
38,3800
39,3900
40,4000
41,4100
42,4200
43,4300
44,4400
45,4500
46,4600
47,4700
48,4800
49,4900
50,5000
51,5100
52,5200
53,5300
54,5400
55,5500
56,5600
57,5700
58,5800
59,5900
60,6000
61,6100
62,6200
63,6300
64,6400
65,6500
66,6600
67,6700
68,6800
69,6900
70,7000
71,7100
72,7200
73,7300
74,7400
75,7500
76,7600
77,7700
78,7800
79,7900
80,8000
81,8100
82,8200
83,8300
84,8400
85,8500
86,8600
87,8700
88,8800
89,8900
90,9000
91,9100
92,9200
93,9300
94,9400
95,9500
96,9600
97,9700
98,9800
99,9900
100,10000
101,10100
102,10200
103,10300
104,10400
105,10500
106,10600
107,10700
108,10800
109,10900
110,11000
111,11100
112,11200
113,11300
114,11400
115,11500
116,11600
117,11700
118,11800
119,11900
120,12000
121,12100
122,12200
123,12300
124,12400
125,12500
126,12600
127,12700
128,12800
129,12900
130,13000
131,13100
132,13200
133,13300
134,13400
135,13500
136,13600
137,13700
138,13800
139,13900
140,14000
141,14100
142,14200
143,14300
144,14400
145,14500
146,14600
147,14700
148,14800
149,14900
150,15000
151,15100
152,15200
153,15300
154,15400
155,15500
156,15600
157,15700
158,15800
159,15900
160,16000
161,16100
162,16200
163,16300
164,16400
165,16500
166,16600
167,16700
168,16800
169,16900
170,17000
171,17100
172,17200
173,17300
174,17400
175,17500
176,17600
177,17700
178,17800
179,17900
180,18000
181,18100
182,18200
183,18300
184,18400
185,18500
186,18600
187,18700
188,18800
189,18900
190,19000
191,19100
192,19200
193,19300
194,19400
195,19500
196,19600
197,19700
198,19800
199,19900
200,20000
201,20100
202,20200
203,20300
204,20400
205,20500
206,20600
207,20700
208,20800
209,20900
210,21000
211,21100
212,21200
213,21300
214,21400
215,21500
216,21600
217,21700
218,21800
219,21900
220,22000
221,22100
222,22200
223,22300
224,22400
225,22500
226,22600
227,22700
228,22800
229,22900
230,23000
231,23100
232,23200
233,23300
234,23400
235,23500
236,23600
237,23700
238,23800
239,23900
240,24000
241,24100
242,24200
243,24300
244,24400
245,24500
246,24600
247,24700
248,24800
249,24900
250,25000
251,25100
252,25200
253,25300
254,25400
255,25500
256,25600
257,25700
258,25800
259,25900
260,26000
261,26100
262,26200
263,26300
264,26400
265,26500
266,26600
267,26700
268,26800
269,26900
270,27000
271,27100
272,27200
273,27300
274,27400
275,27500
276,27600
277,27700
278,27800
279,27900
280,28000
281,28100
282,28200
283,28300
284,28400
285,28500
286,28600
287,28700
288,28800
289,28900
290,29000
291,29100
292,29200
293,29300
294,29400
295,29500
296,29600
297,29700
298,29800
299,29900
300,30000
301,30100
302,30200
303,30300
304,30400
305,30500
306,30600
307,30700
308,30800
309,30900
310,31000
311,31100
312,31200
313,31300
314,31400
315,31500
316,31600
317,31700
318,31800
319,31900
320,32000
321,32100
322,32200
323,32300
324,32400
325,32500
326,32600
327,32700
328,32800
329,32900
330,33000
331,33100
332,33200
333,33300
334,33400
335,33500
336,33600
337,33700
338,33800
339,33900
340,34000
341,34100
342,34200
343,34300
344,34400
345,34500
346,34600
347,34700
348,34800
349,34900
350,35000
351,35100
352,35200
353,35300
354,35400
355,35500
356,35600
357,35700
358,35800
359,35900
360,36000
361,36100
362,36200
363,36300
364,36400
365,36500
366,36600
367,36700
368,36800
369,36900
370,37000
371,37100
372,37200
373,37300
374,37400
375,37500
376,37600
377,37700
378,37800
379,37900
380,38000
381,38100
382,38200
383,38300
384,38400
385,38500
386,38600
387,38700
388,38800
389,38900
390,39000
391,39100
392,39200
393,39300
394,39400
395,39500
396,39600
397,39700
398,39800
399,39900
400,40000
401,40100
402,40200
403,40300
404,40400
405,40500
406,40600
407,40700
408,40800
409,40900
410,41000
411,41100
412,41200
413,41300
414,41400
415,41500
416,41600
417,41700
418,41800
419,41900
420,42000
421,42100
422,42200
423,42300
424,42400
425,42500
426,42600
427,42700
428,42800
429,42900
430,43000
431,43100
432,43200
433,43300
434,43400
435,43500
436,43600
437,43700
438,43800
439,43900
440,44000
441,44100
442,44200
443,44300
444,44400
445,44500
446,44600
447,44700
448,44800
449,44900
450,45000
451,45100
452,45200
453,45300
454,45400
455,45500
456,45600
457,45700
458,45800
459,45900
460,46000
461,46100
462,46200
463,46300
464,46400
465,46500
466,46600
467,46700
468,46800
469,46900
470,47000
471,47100
472,47200
473,47300
474,47400
475,47500
476,47600
477,47700
478,47800
479,47900
480,48000
481,48100
482,48200
483,48300
484,48400
485,48500
486,48600
487,48700
488,48800
489,48900
490,49000
491,49100
492,49200
493,49300
494,49400
495,49500
496,49600
497,49700
498,49800
499,49900
500,50000
